InputsCode,Penalty,Radius,VolFrac
01-A-P5-R1.750-V0.650,5,1.75,0.65
01-A-P5-R2.000-V0.200,5,2.0,0.2
01-A-P5-R2.000-V0.250,5,2.0,0.25
01-A-P5-R2.000-V0.300,5,2.0,0.3
01-A-P5-R2.000-V0.350,5,2.0,0.35
01-A-P5-R2.000-V0.400,5,2.0,0.4
01-A-P5-R2.000-V0.450,5,2.0,0.45
01-A-P5-R2.000-V0.500,5,2.0,0.5
01-A-P5-R2.000-V0.550,5,2.0,0.55
01-A-P5-R2.000-V0.600,5,2.0,0.6
01-A-P5-R2.000-V0.650,5,2.0,0.65
01-A-P5-R2.250-V0.200,5,2.25,0.2
01-A-P5-R2.250-V0.250,5,2.25,0.25
01-A-P5-R2.250-V0.300,5,2.25,0.3
01-A-P5-R2.250-V0.350,5,2.25,0.35
01-A-P5-R2.250-V0.400,5,2.25,0.4
01-A-P5-R2.250-V0.450,5,2.25,0.45
01-A-P5-R2.250-V0.500,5,2.25,0.5
01-A-P5-R2.250-V0.550,5,2.25,0.55
01-A-P5-R2.250-V0.600,5,2.25,0.6
01-A-P5-R2.250-V0.650,5,2.25,0.65
01-A-P5-R2.500-V0.200,5,2.5,0.2
01-A-P5-R2.500-V0.250,5,2.5,0.25
01-A-P5-R2.500-V0.300,5,2.5,0.3
01-A-P5-R2.500-V0.350,5,2.5,0.35
01-A-P5-R2.500-V0.400,5,2.5,0.4
01-A-P5-R2.500-V0.450,5,2.5,0.45
01-A-P5-R2.500-V0.500,5,2.5,0.5
01-A-P5-R2.500-V0.550,5,2.5,0.55
01-A-P5-R2.500-V0.600,5,2.5,0.6
01-A-P5-R2.500-V0.650,5,2.5,0.65
01-A-P5-R2.750-V0.200,5,2.75,0.2
01-A-P5-R2.750-V0.250,5,2.75,0.25
01-A-P5-R2.750-V0.300,5,2.75,0.3
01-A-P5-R2.750-V0.350,5,2.75,0.35
01-A-P5-R2.750-V0.400,5,2.75,0.4
01-A-P5-R2.750-V0.450,5,2.75,0.45
01-A-P5-R2.750-V0.500,5,2.75,0.5
01-A-P5-R2.750-V0.550,5,2.75,0.55
01-A-P5-R2.750-V0.600,5,2.75,0.6
01-A-P5-R2.750-V0.650,5,2.75,0.65
01-A-P5-R3.000-V0.200,5,3.0,0.2
01-A-P5-R3.000-V0.250,5,3.0,0.25
01-A-P5-R3.000-V0.300,5,3.0,0.3
01-A-P5-R3.000-V0.350,5,3.0,0.35
01-A-P5-R3.000-V0.400,5,3.0,0.4
01-A-P5-R3.000-V0.450,5,3.0,0.45
